SERIAL_NUMBER,QUESTION_IDENTIFIER,HL7_SEGMENT_FIELD,MMG_VERSION,DATA_TYPE,CORE_DATA_TYPE,MASK,WIDTH,NOTE
"1","","OBR-7.0","Arbo_Case_Map_v1.0","TS18","TS","YYYYMMDDHHMMSS.SSS","18",""
"2","","OBR-7.0","Gen_Case_Map_v1.0","TS18","TS","YYYYMMDDHHMMSS.SSS","18",""
"3","","OBR-7.0","GEN_Case_Map_v2.0","TS18","TS","YYYYMMDDHHMMSS.SSS","18","DEFAULT DATATYPE FOR DT"
"4","","OBR-7.0","HEP_Case_Map_V1.0","TS18","TS","YYYYMMDDHHMMSS.SSS","18",""
"5","","OBR-7.0","STD_Case_Map_v1.0","TS18","TS","YYYYMMDDHHMMSS.SSS","18",""
"6","","OBR-7.0","TB_Case_Map_v2.0","TS18","TS","YYYYMMDDHHMMSS.SSS","18",""
"7","","OBR-7.0","Var_Case_Map_v2.0","TS18","TS","YYYYMMDDHHMMSS.SSS","18",""
"8","","OBR-22.0","Arbo_Case_Map_v1.0","TS18","TS","YYYYMMDDHHMMSS.SSS","18",""
"9","","OBR-22.0","Gen_Case_Map_v1.0","TS18","TS","YYYYMMDDHHMMSS.SSS","18",""
"10","","OBR-22.0","GEN_Case_Map_v2.0","TS18","TS","YYYYMMDDHHMMSS.SSS","18","DEFAULT DATATYPE FOR DT"
"11","","OBR-22.0","HEP_Case_Map_V1.0","TS18","TS","YYYYMMDDHHMMSS.SSS","18",""
"12","","OBR-22.0","STD_Case_Map_v1.0","TS18","TS","YYYYMMDDHHMMSS.SSS","18",""
"13","","OBR-22.0","TB_Case_Map_v2.0","TS18","TS","YYYYMMDDHHMMSS.SSS","18",""
"14","","OBR-22.0","Var_Case_Map_v2.0","TS18","TS","YYYYMMDDHHMMSS.SSS","18",""
"15","DEM115","PID-7.0","Arbo_Case_Map_v1.0","TS8","TS","YYYYMMDD","8","Birth Date"
"16","DEM115","PID-7.0","Gen_Case_Map_v1.0","TS8","TS","YYYYMMDD","8","Birth Date"
"17","DEM115","PID-7.0","Generic_MMG_V2.0","TS10","TS","YYYYMMDD","8","Birth Date"
"18","DEM115","PID-7.0","HEP_Case_Map_V1.0","TS8","TS","YYYYMMDD","8","Birth Date"
"19","DEM115","PID-7.0","STD_Case_Map_v1.0","TS8","TS","YYYYMMDD","8","Birth Date"
"20","DEM115","PID-7.0","TB_Case_Map_v2.0","TS8","TS","YYYYMMDD","8","Birth Date"
"21","DEM115","PID-7.0","Var_Case_Map_v2.0","TS8","TS","YYYYMMDD","8","Birth Date"
"22","INV166","OBX-3.0","Arbo_Case_Map_v1.0","DT4","TS","YYYY","4","MMWR Year mapping(4 digit)"
"23","INV166","OBX-3.0","Gen_Case_Map_v1.0","DT4","TS","YYYY","4","MMWR Year mapping(4 digit)"
"24","INV166","OBX-3.0","GEN_Case_Map_v2.0","DT4","TS","YYYY","4","MMWR Year mapping(4 digit)"
"25","INV166","OBX-3.0","HEP_Case_Map_V1.0","DT4","TS","YYYY","4","MMWR Year mapping(4 digit)"
"26","INV166","OBX-3.0","STD_Case_Map_v1.0","DT4","TS","YYYY","4","MMWR Year mapping(4 digit)"
"27","INV166","OBX-3.0","TB_Case_Map_v2.0","DT4","TS","YYYY","4","MMWR Year mapping(4 digit)"
"28","INV166","OBX-3.0","Var_Case_Map_v2.0","DT4","TS","YYYY","4","MMWR Year mapping(4 digit)"
